20230324	18:36:54	35dae012-218b-45f1-89ef-f5da56a27e39	GET	undefined	/logout
20230324	18:37:03	d4f8cd96-7d7f-452c-adbf-3ba57b083b07	GET	undefined	/refresh
20230326	01:04:31	0363a91e-042a-4e35-9c08-4309b2f19ba4	POST	undefined	/auth
20230326	01:09:06	e3ab1f1b-4756-4bc8-b7c4-d00b12890e6a	POST	undefined	/register
20230326	01:12:46	a916e5b6-9a39-4f41-82f2-a3fbde0bc2c4	POST	undefined	/auth
20230326	01:13:56	18eb49da-f8b7-477e-a31d-9972c2e3b8d2	POST	undefined	/auth
20230326	01:14:39	5261bc8c-0d7a-4f7a-8be3-3583ba9582ca	GET	undefined	/employees
20230326	01:17:35	84291005-0682-4d28-8005-33462d7fa777	POST	undefined	/auth
20230326	01:18:20	6e53f64f-c1ee-41f2-a531-8832098fd2a8	GET	undefined	/employees
20230326	01:18:43	cdb93bcd-26a7-439c-9184-f084438e486c	POST	undefined	/auth
20230326	01:19:34	0717ac62-6d86-4d2f-a8e6-eb34e79eaf94	GET	undefined	/employees
20230326	01:21:35	f4851ff5-d29c-4002-a063-25d208349dad	POST	undefined	/auth
20230326	01:22:37	98834c69-3715-4490-a462-dd3da7bde68c	GET	undefined	/employees
20230326	01:24:50	26309c15-8dd7-4599-95d5-1ddddcbb38b1	POST	undefined	/auth
20230326	01:25:55	5a4b6666-3785-4692-ada0-7c6f2aae2cb3	GET	undefined	/employees
20230326	22:54:09	d974468c-eae1-413c-bce6-923b286dd4e8	POST	undefined	/auth
20230326	22:54:27	82ec2e8a-d4df-4548-9cce-029c5b8f1566	GET	undefined	/employees
20230326	22:55:07	f83fdf72-bab0-41c0-9b1e-456757f0f4fa	POST	undefined	/employees
20230326	22:55:16	13c97f98-3448-4946-a526-ff037fcef064	POST	undefined	/auth
20230326	22:55:31	8a443b56-5d79-4219-99dc-c431bfa8e314	POST	undefined	/employees
20230326	22:58:30	0cbb1f32-2691-4165-a916-d8d3e61cac74	POST	undefined	/auth
20230326	22:58:51	05d46e97-c5ec-4856-8159-342deb7e970a	POST	undefined	/employees
20230326	22:59:23	f738d25d-5638-4c9a-9ae9-9bc35ef2b52e	POST	undefined	/employees
20230401	22:56:38	fbe66a8a-2599-4b3a-b3d3-a923ee0b984e	POST	undefined	/auth
20230401	22:56:53	ec5a7d7b-7209-4897-9099-c343b07c2b78	GET	undefined	/allActivity
20230401	22:57:43	f0140790-0cc5-422c-9e02-939d0c944105	GET	undefined	/allActivity
20230401	22:57:48	f7985a80-3f28-4281-9980-8698f81289cc	POST	undefined	/auth
20230401	22:57:59	86dfcb83-3bc5-41b8-b843-2e920a80d5a5	POST	undefined	/auth
20230401	22:58:16	9003ef69-9f55-4910-8328-84cc32dd2136	GET	undefined	/employees
20230401	22:58:52	6d69881c-31d8-4846-9400-caf070d21649	POST	undefined	/auth
20230401	22:58:57	d5a91104-d11e-4dbb-a67b-44f30d2f093f	POST	undefined	/auth
20230401	22:59:31	2f3d6fe1-a0ba-45a3-97c8-cebb1254d78d	POST	undefined	/auth
20230401	23:00:06	93d2ee92-1797-495a-a42b-86a235efe92b	GET	undefined	/refresh
20230401	23:00:25	1711790f-ede6-431d-88b6-19c39b9c1128	POST	undefined	/auth
20230401	23:00:34	c69a552c-8a29-4047-9ef9-6690ba206680	GET	undefined	/employees
20230401	23:00:42	514e4f76-4bc4-4ccd-bcb9-c566006804e8	POST	undefined	/register
20230401	23:01:39	284bb0ad-af26-4dcd-85fa-1cec1cdfd118	POST	undefined	/auth
20230401	23:02:04	a4242774-d591-47aa-afa5-fc7fc4372c58	GET	undefined	/refresh
20230401	23:07:56	4a8fdfb7-9d6a-41ef-bfa1-58abcccebb70	POST	undefined	/auth
20230401	23:08:16	0cfce15d-f645-436d-8010-14757f4c5b39	GET	undefined	/refresh
